step,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud
0,C1952040134,3,F,28007,M348934600,28007,es_transportation,10.59,0
0,C1769470125,2,F,28007,M348934600,28007,es_transportation,21.92,0
0,C583110837,3,M,28007,M480131234,28007,es_health,44.26,1
0,C1332295774,3,M,28007,M480139044,28007,es_health,324.5,1
0,C603564532,1,M,28007,M1823072687,28007,es_transportation,26.07,0
0,C2072009750,2,F,28007,M348934600,28007,es_transportation,10.88,0
0,C545248492,4,M,28007,M348934600,28007,es_transportation,8.05,0
0,C1055224400,3,F,28007,M348934600,28007,es_transportation,25.59,0
0,C1619755203,5,F,28007,M348934600,28007,es_transportation,15.26,0
0,C1697851479,3,M,28007,M348934600,28007,es_transportation,20.73,0
1,C1053477622,2,M,28007,M348934600,28007,es_transportation,4.65,0
1,C77415586,3,M,28007,M348934600,28007,es_transportation,5.81,0
1,C1881708420,3,F,28007,M1823072687,28007,es_transportation,56.62,0
1,C1814870538,3,M,28007,M348934600,28007,es_transportation,29.32,0
1,C1155259690,2,F,28007,M1823072687,28007,es_transportation,24.19,0
1,C778323844,2,F,28007,M1823072687,28007,es_transportation,6.79,0
1,C986156699,3,F,28007,M348934600,28007,es_transportation,74.53,0
1,C1450140987,4,F,28007,M980657600,28007,es_sportsandtoys,255.14,1
1,C1450140987,4,F,28007,M980657600,28007,es_sportsandtoys,21.93,1
1,C2055009466,4,M,28007,M348934600,28007,es_transportation,5.36,0